year,month,brl_usd_price,date,oil_price,conflict
2003,3,3.4567380952380953,2003-03-01,30.612380952380953,0
2003,4,3.109,2003-04-01,25.06772727272727,1
2003,5,2.951690476190476,2003-05-01,25.857727272727274,0
2003,6,2.8886666666666665,2003-06-01,27.652857142857144,0
2003,7,2.883272727272727,2003-07-01,28.348695652173912,0
2003,8,3.0053095238095238,2003-08-01,29.888095238095236,0
2003,9,2.9204285714285714,2003-09-01,27.112272727272728,0
2003,10,2.8628181818181817,2003-10-01,29.60782608695652,0
2003,11,2.915027777777778,2003-11-01,28.752499999999998,0
2003,12,2.9255227272727278,2003-12-01,29.80714285714286,0
2004,1,2.8533,2004-01-01,31.280952380952378,0
2004,2,2.934236842105263,2004-02-01,30.8585,0
2004,3,2.906695652173913,2004-03-01,33.63434782608696,0
2004,4,2.9078863636363637,2004-04-01,33.59090909090909,0
2004,5,3.102325,2004-05-01,37.56761904761905,0
2004,6,3.1292954545454545,2004-06-01,35.18363636363636,0
2004,7,3.0384285714285717,2004-07-01,38.221363636363634,0
2004,8,3.001840909090909,2004-08-01,42.74409090909091,0
2004,9,2.891404761904762,2004-09-01,43.19681818181818,0
2004,10,2.852,2004-10-01,49.776666666666664,0
2004,11,2.78765,2004-11-01,43.110454545454544,0
2004,12,2.714969565217391,2004-12-01,39.60217391304348,0
2005,1,2.68945,2005-01-01,44.509,0
2005,2,2.5971473684210524,2005-02-01,45.475,0
2005,3,2.7060999999999997,2005-03-01,53.10454545454545,0
2005,4,2.576047619047619,2005-04-01,51.88380952380952,0
2005,5,2.4553761904761906,2005-05-01,48.64545454545455,0
2005,6,2.4148454545454547,2005-06-01,54.35454545454545,0
2005,7,2.370235,2005-07-01,57.52,0
2005,8,2.360908695652174,2005-08-01,63.98347826086956,0
2005,9,2.294904761904762,2005-09-01,62.908181818181816,0
2005,10,2.25356,2005-10-01,58.53857142857142,0
2005,11,2.210885,2005-11-01,55.24181818181818,0
2005,12,2.2808714285714284,2005-12-01,56.855714285714285,0
2006,1,2.2666,2006-01-01,62.985238095238095,0
2006,2,2.158715789473684,2006-02-01,60.21,0
2006,3,2.1527739130434784,2006-03-01,62.06478260869565,0
2006,4,2.1281,2006-04-01,70.26,0
2006,5,2.169681818181818,2006-05-01,69.77695652173912,0
2006,6,2.249295454545454,2006-06-01,68.5559090909091,0
2006,7,2.188305,2006-07-01,73.67428571428572,0
2006,8,2.155308695652174,2006-08-01,73.2304347826087,0
2006,9,2.167895,2006-09-01,61.95857142857143,0
2006,10,2.145752380952381,2006-10-01,57.808181818181815,0
2006,11,2.1554714285714285,2006-11-01,58.76136363636363,0
2006,12,2.14761,2006-12-01,62.47210526315789,0
2007,1,2.137566666666667,2007-01-01,53.68142857142857,0
2007,2,2.093942105263158,2007-02-01,57.55578947368421,0
2007,3,2.0882681818181816,2007-03-01,62.05045454545455,0
2007,4,2.030185714285714,2007-04-01,67.4857894736842,0
2007,5,1.9835500000000001,2007-05-01,67.21227272727273,0
2007,6,1.9322857142857144,2007-06-01,71.04571428571428,0
